epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,2071.42,0.25806,0.84014,1,0.38291,0.006139,0.006139,0.006139
80,2097.96,0.26358,0.84181,1,0.38028,0.0060895,0.0060895,0.0060895
81,2124.08,0.26252,0.84258,1,0.37906,0.00604,0.00604,0.00604
82,2150.85,0.2669,0.84225,1,0.3801,0.0059905,0.0059905,0.0059905
83,2177.12,0.26463,0.84303,1,0.3793,0.005941,0.005941,0.005941
84,2203.09,0.2555,0.8427,1,0.37929,0.0058915,0.0058915,0.0058915
85,2229.12,0.26401,0.84358,1,0.37824,0.005842,0.005842,0.005842
86,2255.95,0.26106,0.84558,1,0.37482,0.0057925,0.0057925,0.0057925
87,2282.29,0.26536,0.84458,1,0.37632,0.005743,0.005743,0.005743
88,2308.56,0.24862,0.84358,1,0.37881,0.0056935,0.0056935,0.0056935
89,2334.19,0.26236,0.84414,1,0.37786,0.005644,0.005644,0.005644
90,2359.89,0.25163,0.84492,1,0.37666,0.0055945,0.0055945,0.0055945
91,2385.47,0.25926,0.84625,1,0.37626,0.005545,0.005545,0.005545
92,2411.63,0.24534,0.84747,1,0.37228,0.0054955,0.0054955,0.0054955
93,2437.64,0.25043,0.84991,1,0.36527,0.005446,0.005446,0.005446
94,2463.86,0.25183,0.85091,1,0.36198,0.0053965,0.0053965,0.0053965
95,2489.66,0.25732,0.8518,1,0.35916,0.005347,0.005347,0.005347
96,2515.22,0.26993,0.85224,1,0.36094,0.0052975,0.0052975,0.0052975
97,2540.73,0.25883,0.85191,1,0.36101,0.005248,0.005248,0.005248
98,2566.31,0.26703,0.85291,1,0.35959,0.0051985,0.0051985,0.0051985
99,2592.28,0.25755,0.85258,1,0.36168,0.005149,0.005149,0.005149
100,2618.8,0.25315,0.85291,1,0.35964,0.0050995,0.0050995,0.0050995
101,2644.95,0.25185,0.85313,1,0.35878,0.00505,0.00505,0.00505
102,2670.92,0.25112,0.85391,1,0.35612,0.0050005,0.0050005,0.0050005
103,2697.22,0.25222,0.85413,1,0.35625,0.004951,0.004951,0.004951
104,2723.55,0.25372,0.85524,1,0.35274,0.0049015,0.0049015,0.0049015
105,2750.07,0.25826,0.85646,1,0.35091,0.004852,0.004852,0.004852
106,2776.09,0.24792,0.85679,1,0.34912,0.0048025,0.0048025,0.0048025
107,2801.88,0.24492,0.8589,1,0.34499,0.004753,0.004753,0.004753
108,2827.45,0.24506,0.86057,1,0.34097,0.0047035,0.0047035,0.0047035
109,2853.31,0.24922,0.8609,1,0.33929,0.004654,0.004654,0.004654
110,2879.15,0.24231,0.86301,1,0.33529,0.0046045,0.0046045,0.0046045
111,2905.01,0.24899,0.86423,1,0.3328,0.004555,0.004555,0.004555
112,2930.4,0.24621,0.86656,1,0.32725,0.0045055,0.0045055,0.0045055
113,2956.21,0.24482,0.86679,1,0.32631,0.004456,0.004456,0.004456
114,2982.23,0.25088,0.86934,1,0.31862,0.0044065,0.0044065,0.0044065
115,3008.57,0.24074,0.86912,1,0.31935,0.004357,0.004357,0.004357
116,3034.5,0.23738,0.87045,1,0.31558,0.0043075,0.0043075,0.0043075
10,6034.95,0.54508,0.82249,1,0.40721,0.0095545,0.0095545,0.0095545
11,6104.95,0.52848,0.79218,1,0.43001,0.009505,0.009505,0.009505
12,6175.87,0.51517,0.81827,1,0.40733,0.0094555,0.0094555,0.0094555
13,6247.56,0.52484,0.81139,1,0.41042,0.009406,0.009406,0.009406
14,6318.42,0.51049,0.79196,1,0.43011,0.0093565,0.0093565,0.0093565
15,6385.54,0.48714,0.8034,1,0.41604,0.009307,0.009307,0.009307
16,6455.86,0.48528,0.81294,1,0.40153,0.0092575,0.0092575,0.0092575
17,6527.86,0.48929,0.79374,1,0.43031,0.009208,0.009208,0.009208
18,6598.44,0.50598,0.79218,1,0.42895,0.0091585,0.0091585,0.0091585
19,6670.15,0.48565,0.78597,1,0.43829,0.009109,0.009109,0.009109
20,6740.8,0.49212,0.79285,1,0.4284,0.0090595,0.0090595,0.0090595
21,6813.07,0.48591,0.79674,1,0.42254,0.00901,0.00901,0.00901
